Date,Value,DataCollectedAt
2007-10-29,89.4118,2026-09-18
2007-10-30,89.3252,2026-09-18
2007-10-31,89.1389,2026-09-18
2007-11-01,89.1628,2026-09-18
2007-11-02,88.8924,2026-09-18
2007-11-05,88.8851,2026-09-18
2007-11-06,88.4938,2026-09-18
2007-11-07,88.0631,2026-09-18
2007-11-08,88.2631,2026-09-18
2007-11-09,88.4615,2026-09-18
2007-11-12,88.465,2026-09-18
2007-11-13,89.1016,2026-09-18
2007-11-14,88.9671,2026-09-18
2007-11-15,89.4413,2026-09-18
2007-11-16,89.3182,2026-09-18
2007-11-19,89.5262,2026-09-18
2007-11-20,89.2622,2026-09-18
2007-11-21,89.3352,2026-09-18
2007-11-22,89.3269,2026-09-18
2007-11-23,89.2384,2026-09-18
2007-11-26,89.145,2026-09-18
2007-11-27,89.4082,2026-09-18
2007-11-28,89.4195,2026-09-18
2007-11-29,89.3681,2026-09-18
2007-11-30,89.6212,2026-09-18
2007-12-03,89.6403,2026-09-18
2007-12-04,89.6672,2026-09-18
2007-12-05,89.8751,2026-09-18
2007-12-06,89.9268,2026-09-18
2007-12-07,89.74,2026-09-18
2007-12-10,89.6811,2026-09-18
2007-12-11,89.7176,2026-09-18
2007-12-12,89.7349,2026-09-18
2007-12-13,90.1374,2026-09-18
2007-12-14,90.4345,2026-09-18
2007-12-17,90.5363,2026-09-18
2007-12-18,90.5602,2026-09-18
2007-12-19,90.6147,2026-09-18
2007-12-20,90.4695,2026-09-18
2007-12-21,90.3672,2026-09-18
2007-12-24,90.1788,2026-09-18
2007-12-25,90.1786,2026-09-18
2007-12-26,89.9226,2026-09-18
2007-12-27,89.684,2026-09-18
2007-12-28,89.4069,2026-09-18
2007-12-31,89.6304,2026-09-18
2008-01-01,89.6297,2026-09-18
2008-01-02,89.3514,2026-09-18
2008-01-03,89.231,2026-09-18
2008-01-04,89.2467,2026-09-18
2008-01-07,89.5718,2026-09-18
2008-01-08,89.3398,2026-09-18
2008-01-09,89.6807,2026-09-18
2008-01-10,89.6226,2026-09-18
2008-01-11,89.5215,2026-09-18
2008-01-14,89.2749,2026-09-18
2008-01-15,89.1555,2026-09-18
2008-01-16,89.6701,2026-09-18
2008-01-17,89.6484,2026-09-18
2008-01-18,89.8993,2026-09-18
2008-01-21,89.9265,2026-09-18
2008-01-22,89.84,2026-09-18
2008-01-23,89.9138,2026-09-18
2008-01-24,89.203,2026-09-18
2008-01-25,89.2184,2026-09-18
2008-01-28,88.9555,2026-09-18
2008-01-29,88.8342,2026-09-18
2008-01-30,88.7442,2026-09-18
2008-01-31,88.6547,2026-09-18
2008-02-01,88.4824,2026-09-18
2008-02-04,88.4788,2026-09-18
2008-02-05,89.076,2026-09-18
2008-02-06,88.9987,2026-09-18
2008-02-07,89.4221,2026-09-18
2008-02-08,89.2226,2026-09-18
2008-02-11,89.2149,2026-09-18
2008-02-12,88.9539,2026-09-18
